X,Y,id
-82.2262211436591,27.7611716629339,1
-82.226185015564,27.7611200087153,2
-82.2261847169847,27.7610683544967,3
-82.2261844184054,27.7610143116436,4
-82.226142020145,27.7611710657753,999
